Забота о 20 процентах.,"Никто не сомневается, что корпоративные мероприятия – это большой бизнес.",0.03204406425356865
"Никто не сомневается, что корпоративные мероприятия – это большой бизнес.","Например, в Японии личные взаимоотношения играют очень важную роль в бизнесе, и каждый год из маркетинговых затрат 40 млрд. долларов тратится на корпоративные мероприятия.",0.9175212979316711
"Например, в Японии личные взаимоотношения играют очень важную роль в бизнесе, и каждый год из маркетинговых затрат 40 млрд. долларов тратится на корпоративные мероприятия.","Скандально известная компания ""Recruit Group"", главное действующее лицо целой серии скандалов в Японии, однажды заплатила 15,5 тыс. долларов за обед в фешенебельном ресторане для 12 руководителей.",0.9955634474754333
"Скандально известная компания ""Recruit Group"", главное действующее лицо целой серии скандалов в Японии, однажды заплатила 15,5 тыс. долларов за обед в фешенебельном ресторане для 12 руководителей.","То есть получается, что сумма, которую японцы тратят на то, чтобы накормить и напоить важных клиентов, сопоставима со стоимостью 365 совершенно новых авиалайнеров!",0.9771626591682434
"То есть получается, что сумма, которую японцы тратят на то, чтобы накормить и напоить важных клиентов, сопоставима со стоимостью 365 совершенно новых авиалайнеров!","Некоторые считают подобные корпоративные мероприятия излишним расточительством, другие скептически полагают, что это взяточничество.",0.4667590856552124
"Некоторые считают подобные корпоративные мероприятия излишним расточительством, другие скептически полагают, что это взяточничество.",Но по-настоящему коррумпированные корпоративные мероприятия – относительная редкость.,0.9561963081359863
Но по-настоящему коррумпированные корпоративные мероприятия – относительная редкость.,"Известные мошенники, Bank of Credit и Commerce International на самом деле специализируются на умасливании своих самых ценных клиентов, в основном – международных террористов, наркобаронов и диктаторов стран третьего мира, поощряя их безмерные траты в Лондоне и предоставляя бесконечные кредитные линии в казино Лас-Вегаса.",0.37436071038246155
"Известные мошенники, Bank of Credit и Commerce International на самом деле специализируются на умасливании своих самых ценных клиентов, в основном – международных террористов, наркобаронов и диктаторов стран третьего мира, поощряя их безмерные траты в Лондоне и предоставляя бесконечные кредитные линии в казино Лас-Вегаса.",Но это в миллионах километров от ежедневных деловых завтраков в Хилтоне или деловых обедов в Саввой.,0.5815399289131165
Но это в миллионах километров от ежедневных деловых завтраков в Хилтоне или деловых обедов в Саввой.,"Самые успешные бизнесмены подтвердят, что доброжелательность – важнейшее условие заключения прибыльных сделок, а сегодня она стоит больше, чем просто улыбка.",0.4489173889160156
"Самые успешные бизнесмены подтвердят, что доброжелательность – важнейшее условие заключения прибыльных сделок, а сегодня она стоит больше, чем просто улыбка.","Несколько лет назад отель Риц, осознавая существенный вклад, сделанный подобными корпоративными ужинами в свой ресторанный оборот, учредил награду Business Luncher of the Year, ее удостоится тот, кто по их словам больше остальных способствует восстановлению экономики с помощью обедов в ресторане.",0.9474892020225525
"Несколько лет назад отель Риц, осознавая существенный вклад, сделанный подобными корпоративными ужинами в свой ресторанный оборот, учредил награду Business Luncher of the Year, ее удостоится тот, кто по их словам больше остальных способствует восстановлению экономики с помощью обедов в ресторане.","Это свидетельствует о том, что отель Риц признавал, что бизнес-ланчи являются важной частью корпоративной культуры, помогают укрепить деловые отношения между коллегами, увеличить их значимость или манипулировать сверхосторожными клиентами, чтобы они согласились.",0.9848176836967468
